19.65% Epoch [1/2], Step [318/809], Loss: 3.0865, Perplexity: 21.9005
19.72% Epoch [1/2], Step [319/809], Loss: 3.0967, Perplexity: 22.1238
19.78% Epoch [1/2], Step [320/809], Loss: 3.0906, Perplexity: 21.9908
19.84% Epoch [1/2], Step [321/809], Loss: 3.1988, Perplexity: 24.5041
19.90% Epoch [1/2], Step [322/809], Loss: 3.4134, Perplexity: 30.3672
19.96% Epoch [1/2], Step [323/809], Loss: 3.1230, Perplexity: 22.7152
20.02% Epoch [1/2], Step [324/809], Loss: 3.0079, Perplexity: 20.2450
20.09% Epoch [1/2], Step [325/809], Loss: 3.0638, Perplexity: 21.4096
20.15% Epoch [1/2], Step [326/809], Loss: 2.9617, Perplexity: 19.3299
20.21% Epoch [1/2], Step [327/809], Loss: 3.0066, Perplexity: 20.2191
20.27% Epoch [1/2], Step [328/809], Loss: 3.0957, Perplexity: 22.1025
20.33% Epoch [1/2], Step [329/809], Loss: 3.0619, Perplexity: 21.3691
20.40% Epoch [1/2], Step [330/809], Loss: 3.0088, Perplexity: 20.2625
20.46% Epoch [1/2], Step [331/809], Loss: 2.9326, Perplexity: 18.7763
20.52% Epoch [1/2], Step [332/809], Loss: 3.0037, Perplexity: 20.1605
20.58% Epoch [1/2], Step [333/809], Loss: 3.0787, Perplexity: 21.7310
